Model,RMSE,MAE,R²
Linear Regression,0.5327620817123528,0.41491944614584225,0.730026128078235
Lasso Regression,0.5486477676235082,0.42943028885482154,0.7136861521274668
Decision Tree,0.6006976546777912,0.4524952566576872,0.6567844205506721
Random Forest,0.5438079164237374,0.42411560086808264,0.7187152600899203
Extra Trees,0.5565802903306425,0.43531544114105125,0.7053470681696625
